title	잉글랜드 ; 프랑스군 ; 대주교 ; 교황 ; 존	<Settlement> <MilitaryUnit> <Profession> <ChristianBishop> <BritishRoyalty>	4 106 0 ; 1 14 0 ; 4 11 3 ; 4 11 2 ; 0 26 4 ; 2 96 3	<ENTITY_4> 은 <ENTITY_0> 에서 사망하였다 . <ENTITY_4> 의 직업은 <ENTITY_3> 이다 . 그는 <ENTITY_2> 이다 . 그는 <ENTITY_0>  지도자이다 .	존 은 잉글랜드 에서 사망하였다 . 존 의 직업은 교황 이다 . 그는 대주교 이다 . 그는  잉글랜드 지도자이다 .	T ; F ; T ; T ; T ; F
title	교황_인노첸시오_3세 ; 알비_십자군 ; 십자군 ; 프랑스 ; 교황 ; 유럽	<Pope> <MilitaryConflict> <MilitaryConflict> <Settlement> <ChristianBishop> <Settlement>	1 34 0 ; 1 107 2 ; 1 18 3 ; 0 96 4 ; 5 26 0 ; 2 34 0	<ENTITY_0> 는 <ENTITY_1> 을 지휘했다 . 그는 <ENTITY_5> 의 지도자다 .	교황_인노첸시오_3세 는 알비_십자군 을 지휘했다 . 그는 유럽 의 지도자다 .	T ; F ; F ; F ; T ; F
title	교황_인노첸시오_3세 ; 잉글랜드 ; 프랑스인 ; 십자군 ; 프랑스 ; 영주시 ; 카푸아 ; 선교사 ; 독일 ; 유럽 ; 교황	<Pope> <Settlement> <EthnicGroup> <MilitaryConflict> <Settlement> <City> <Settlement> <Profession> <Settlement> <Settlement> <ChristianBishop>	1 105 8 ; 3 34 0 ; 1 105 4 ; 5 105 4 ; 6 105 4 ; 0 96 7 ; 3 34 7 ; 4 63 5 ; 2 32 3 ; 4 63 1 ; 9 26 0 ; 10 105 8	<ENTITY_0> 는 <ENTITY_3> 에 참여한 지휘관이다 . 그의 직업은 <ENTITY_7> 이다 . 그는 <ENTITY_9> 의 지도자이다 . <ENTITY_2> 은 <ENTITY_3> 과 관련있다 .	교황_인노첸시오_3세 는 십자군 에 참여한 지휘관이다 . 그의 직업은 선교사 이다 . 그는 유럽 의 지도자이다 . 프랑스인 은 십자군 과 관련있다 .	F ; T ; F ; F ; F ; T ; F ; F ; T ; F ; T ; F
title	교황_인노첸시오_3세 ; 필리프_2세 ; 잉글랜드 ; 십자군 ; 존	<Pope> <BritishRoyalty> <Settlement> <MilitaryConflict> <BritishRoyalty>	4 16 2 ; 0 73 3 ; 3 34 4 ; 3 34 1	<ENTITY_4> 은 <ENTITY_2> 에서 태어났다 . 교황 인노첸시오3세는 <ENTITY_3>  전투에 참여했다 . <ENTITY_3> 을 지휘한 건 <ENTITY_4> 이었다 . 필리프2세도 <ENTITY_3> 의 지휘관이었다 .	존 은 잉글랜드 에서 태어났다 . 교황 인노첸시오3세는  십자군 전투에 참여했다 . 십자군 을 지휘한 건 존 이었다 . 필리프2세도 십자군 의 지휘관이었다 .	T ; T ; T ; T
title	교황_인노첸시오_3세 ; 콘스탄티노폴리스 ; 예루살렘 ; 이집트 ; 십자군	<Pope> <City> <City> <Country> <MilitaryConflict>	3 63 1 ; 0 73 4 ; 3 63 4 ; 2 14 4 ; 4 63 1 ; 2 14 1	<ENTITY_1> 는 <ENTITY_3> 의 수도이다 . <ENTITY_1> 의 한 부분은 <ENTITY_2> 이다 .	콘스탄티노폴리스 는 이집트 의 수도이다 . 콘스탄티노폴리스 의 한 부분은 예루살렘 이다 .	T ; F ; F ; F ; F ; T
title	교황_인노첸시오_13세 ; 백작 ; 교황	<Pope> <Profession> <ChristianBishop>	1 11 2 ; 0 11 2 ; 0 96 2 ; 0 11 1 ; 2 50 0	<ENTITY_1> 은 <ENTITY_2> 에 속해 있다 . <ENTITY_2>  인토첸시오 13세는 <ENTITY_2> 에 속해 있다 . 그의 직업은 <ENTITY_2> 이다 . 또한 <ENTITY_1> 에도 속해 있다 .	백작 은 교황 에 속해 있다 .  교황 인토첸시오 13세는 교황 에 속해 있다 . 그의 직업은 교황 이다 . 또한 백작 에도 속해 있다 .	T ; T ; T ; T ; F
title	교황_그레고리오_8세 ; 교황_알렉산데르_3세 ; 교황 ; 로마	<Pope> <Pope> <ChristianBishop> <Settlement>	0 77 1 ; 1 11 2 ; 0 11 2 ; 0 106 3	<ENTITY_0> 의 전임자는 <ENTITY_1> 이다 . <ENTITY_0> 의 직함은 <ENTITY_2> 이다 . 그는 <ENTITY_3> 에서 사망했다 .	교황_그레고리오_8세 의 전임자는 교황_알렉산데르_3세 이다 . 교황_그레고리오_8세 의 직함은 교황 이다 . 그는 로마 에서 사망했다 .	T ; F ; T ; T
title	교황_인노첸시오_3세 ; 교황_인노첸시오_2세 ; 교황	<Pope> <Pope> <ChristianBishop>	0 77 1 ; 0 11 2 ; 2 50 1 ; 2 33 0 ; 1 11 2 ; 2 50 0 ; 2 33 1	<ENTITY_1> 는 <ENTITY_0> 의 전임자이다 . <ENTITY_0> 의 직함은 <ENTITY_2> 이다 .	교황_인노첸시오_2세 는 교황_인노첸시오_3세 의 전임자이다 . 교황_인노첸시오_3세 의 직함은 교황 이다 .	T ; T ; F ; F ; F ; F ; F
title	교황_인노첸시오_3세 ; 신성_로마_제국 ; 하인리히_6세 ; 시칠리아 ; 이탈리아 ; 교황령 ; 독일인 ; 독일 ; 교황	<Pope> <Country> <BritishRoyalty> <AdministrativeRegion> <Settlement> <Country> <EthnicGroup> <Settlement> <ChristianBishop>	0 106 5 ; 3 105 4 ; 5 105 4 ; 1 50 2 ; 3 105 7 ; 7 105 4 ; 2 11 8 ; 8 105 4 ; 5 105 7 ; 4 105 7 ; 1 86 6 ; 4 50 8 ; 3 50 2 ; 3 86 6 ; 4 50 2	<ENTITY_1> 을 이끈 사람은 <ENTITY_2> 다 . 그의 직함은 <ENTITY_8> 이다 . 그는 <ENTITY_3> 를 이끈 사람이다 . 그는 <ENTITY_4> 를 이끈 사람이다 .	신성_로마_제국 을 이끈 사람은 하인리히_6세 다 . 그의 직함은 교황 이다 . 그는 시칠리아 를 이끈 사람이다 . 그는 이탈리아 를 이끈 사람이다 .	F ; F ; F ; T ; F ; F ; T ; F ; F ; F ; F ; F ; T ; F ; T
title	콘스탄티노폴리스 ; 이베리아_반도 ; 라틴_제국 ; 레콩키스타 ; 발트_해 ; 프랑스	<City> <Island> <Country> <MilitaryConflict> <BodyOfWater> <Settlement>	2 63 0 ; 1 105 5 ; 4 105 5 ; 0 87 4 ; 5 63 0 ; 2 105 5 ; 0 105 5 ; 3 105 5 ; 4 105 2 ; 1 105 2 ; 0 87 1	<ENTITY_0> 는 <ENTITY_2> 의 수도이다 . <ENTITY_0> 는 <ENTITY_4> 에 위치해 있다 .	콘스탄티노폴리스 는 라틴_제국 의 수도이다 . 콘스탄티노폴리스 는 발트_해 에 위치해 있다 .	T ; F ; F ; T ; F ; F ; F ; F ; F ; F ; F
